qualifying_groups,match_74,match_77,match_79,match_80,match_81,match_82,match_85,match_87
ABCGHJKL,3C,3G,3H,3K,3B,3A,3J,3L
ABCGHIKL,3C,3H,3I,3K,3B,3A,3G,3L
ABCGHIJL,3C,3G,3H,3I,3B,3A,3J,3L
ABCGHIJK,3C,3G,3H,3K,3B,3A,3J,3I
ABCFIJKL,3C,3F,3I,3K,3B,3A,3J,3L
ABCFHJKL,3C,3F,3H,3K,3B,3A,3J,3L
ABCFHIKL,3C,3F,3H,3K,3B,3A,3I,3L
ABCFHIJL,3C,3F,3H,3I,3B,3A,3J,3L
ABCFHIJK,3C,3F,3H,3K,3B,3A,3J,3I
ABCFGJKL,3F,3G,3C,3K,3B,3A,3J,3L
ABCFGIKL,3C,3F,3I,3K,3B,3A,3G,3L
ABCFGIJL,3F,3G,3C,3I,3B,3A,3J,3L
ABCFGIJK,3F,3G,3C,3K,3B,3A,3J,3I
ABCFGHKL,3C,3F,3H,3K,3B,3A,3G,3L
ABCFGHJL,3C,3F,3H,3J,3B,3A,3G,3L
ABCFGHJK,3C,3F,3H,3K,3B,3A,3G,3J
ABCFGHIL,3C,3F,3H,3I,3B,3A,3G,3L
ABCFGHIK,3C,3F,3H,3K,3B,3A,3G,3I
ABCFGHIJ,3C,3F,3H,3J,3B,3A,3G,3I
ABCEIJKL,3A,3C,3E,3K,3B,3I,3J,3L
ABCEHJKL,3C,3H,3E,3K,3B,3A,3J,3L
ABCEHIKL,3C,3H,3E,3K,3B,3A,3I,3L
ABCEHIJL,3C,3H,3E,3I,3B,3A,3J,3L
ABCEHIJK,3C,3H,3E,3K,3B,3A,3J,3I
ABCEGJKL,3C,3G,3E,3K,3B,3A,3J,3L
ABCEGIKL,3A,3C,3E,3K,3B,3I,3G,3L
ABCEGIJL,3C,3G,3E,3I,3B,3A,3J,3L
ABCEGIJK,3C,3G,3E,3K,3B,3A,3J,3I
ABCEGHKL,3C,3H,3E,3K,3B,3A,3G,3L
ABCEGHJL,3C,3G,3H,3E,3B,3A,3J,3L
ABCEGHJK,3C,3G,3H,3K,3B,3A,3J,3E
ABCEGHIL,3C,3H,3E,3I,3B,3A,3G,3L
ABCEGHIK,3C,3H,3E,3K,3B,3A,3G,3I
